Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name
,,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts: ,10,Echo,,,,
,,Dream,esoteric,Occult," wanderers, hunters, masters, and guardians of the Dreamland",9,Magical Theory and Application,16,Wildfire,,,,
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,3,Stellar,,,,
,,Brine,primal,primal,rigid courtsey & discipline,2,Dragon History,18,Enigma,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,13,Nova,,,,
,,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,7,Starlight,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,5,Mineral Extraction & Refinement,8,Wraith,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,4,Wisp,,,,
,,Copper,metallic,arcane,prankster & hedonist,6,Arcane Artifice and Enchantment Studies,15,Seraphic,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,14,Elysium,,,,
,,Sky,imperial,divine,religious traditionalist,4,Economic Dominance and Resource Management,10,Echo,,,,
President of student body,,Sea,imperial,arcane,ind & fickle,4,Economic Dominance and Resource Management,14,Elysium,,,,
,,Amethyst,jewel,arcane/divine,deception and stealth,10,Eldritch Engineering,9,Nexus,,,,
,,Gold,metallic,divine,wise counselor and leader,4,Economic Dominance and Resource Management,7,Starlight,,,,
,,Gold,metallic,divine,wise counselor and leader,3,Ancient Relics and Artifacts: ,11,Sunfire,,,,
,,Sky,imperial,divine,religious traditionalist,10,Eldritch Engineering,1,Exalted,,,,
,,Gold,metallic,divine,wise counselor and leader,7,Planar Studies,8,Wraith,,,,
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,14,Elysium,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,9,Magical Theory and Application,17,Nightshade,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,12,Whirlwind,,,,
,,Umbral,primal,primal,malicious hunters of the undead,1,Prophecy,1,Exalted,,,,
Elder Hydra- Swampclaw,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,15,Seraphic,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,11,Arcanomechanics,20,Whisper,,,,
,,Time,outer,arcane,patient watchers and guardians of history,4,Economic Dominance and Resource Management,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,18,Enigma,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,9,Magical Theory and Application,2,Empyrean,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,11,Arcanomechanics,16,Wildfire,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,18,Enigma,,,,
,,Brass,metallic,arcane,curious & short attention span,7,Planar Studies,7,Starlight,,,,
,,Dream,esoteric,Occult," wanderers, hunters, masters, and guardians of the Dreamland",4,Economic Dominance and Resource Management,13,Nova,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,16,Wildfire,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,15,Seraphic,,,,
,,Solar,outer,arcane,uber arrogant,9,Magical Theory and Application,12,Whirlwind,,,,
Gristle,Chef/Chairman of The Draconic Gastronomy Guild,Brass,metallic,arcane,curious & short attention span,11,Arcanomechanics,8,Wraith,,,,
,,Gold,metallic,divine,wise counselor and leader,5,Mineral Extraction & Refinement,19,Shadow,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Brass,metallic,arcane,curious & short attention span,9,Magical Theory and Application,12,Whirlwind,,,,
,,Gold,metallic,divine,wise counselor and leader,7,Planar Studies,9,Nexus,,,,
,,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,11,Sunfire,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",6,Arcane Artifice and Enchantment Studies,10,Echo,,,,
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",11,Arcanomechanics,3,Stellar,,,,
,,Solar,outer,arcane,uber arrogant,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Edict,planar,divine,"planner, order bringer, & corruption purger",9,Magical Theory and Application,15,Seraphic,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,15,Seraphic,,,,
,,Sea,imperial,arcane,ind & fickle,9,Magical Theory and Application,4,Wisp,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,10,Eldritch Engineering,17,Nightshade,,,,
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,5,Nebula,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,17,Nightshade,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,5,Nebula,,,,
,,Crystal,primal,primal,build beautiful homes,6,Arcane Artifice and Enchantment Studies,16,Wildfire,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,10,Echo,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,12,Whirlwind,,,,
,,Tumult,planar,divine,capricious seekers of change,9,Magical Theory and Application,16,Wildfire,,,,
,,Solar,outer,arcane,uber arrogant,6,Arcane Artifice and Enchantment Studies,16,Wildfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,
,,Tumult,planar,divine,capricious seekers of change,7,Planar Studies,12,Whirlwind,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",5,Mineral Extraction & Refinement,11,Sunfire,,,,
,,Apocolypse,planar,divine,despoiler & destroyer,4,Economic Dominance and Resource Management,3,Stellar,,,,
,,Forest,imperial,primal,guardians of nature,2,Dragon History,6,Eclipse,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,18,Enigma,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,12,Elemental Binding,11,Sunfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,11,Arcanomechanics,14,Elysium,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,11,Sunfire,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,7,Planar Studies,1,Exalted,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,5,Nebula,,,,
,,Amber,wild,arcane,gossip & information broker,2,Dragon History,17,Nightshade,,,,
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,5,Nebula,,,,
,,Etheric,esoteric,Occult,pragmatic survivalists,11,Arcanomechanics,10,Echo,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,9,Nexus,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,11,Sunfire,,,,
,,Brass,metallic,arcane,curious & short attention span,2,Dragon History,9,Nexus,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,12,Whirlwind,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",2,Dragon History,7,Starlight,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,2,Dragon History,1,Exalted,,,,
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,19,Shadow,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,10,Echo,,,,
,,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",11,Arcanomechanics,1,Exalted,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,10,Echo,,,,
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,12,Whirlwind,,,,
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,14,Elysium,,,,
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,10,Echo,,,,
,,Nightmare,esoteric,Occult,artists of terror,3,Ancient Relics and Artifacts: ,14,Elysium,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts: ,15,Seraphic,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,6,Arcane Artifice and Enchantment Studies,4,Wisp,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts: ,10,Echo,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,2,Empyrean,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,20,Whisper,,,,
Roarkfang - Elder Rhemoraz,,Infernal,planar,divine,tyranical deal brokers,8,Political Intrigue and Diplomacy,1,Exalted,,,,
,,Gold,metallic,divine,wise counselor and leader,7,Planar Studies,10,Echo,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,2,Empyrean,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,2,Empyrean,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,18,Enigma,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,2,Empyrean,,,,
,,Void,outer,arcane,corrupted destroyers,8,Political Intrigue and Diplomacy,15,Seraphic,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",10,Eldritch Engineering,11,Sunfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,19,Shadow,,,,
,,Cerulean,wild,arcane,explorers and adventurers,5,Mineral Extraction & Refinement,6,Eclipse,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",8,Political Intrigue and Diplomacy,7,Starlight,,,,
,,Underworld,imperial,arcane,natural alchemists and hoarders,11,Arcanomechanics,18,Enigma,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,3,Stellar,,,,
,,Amber,wild,arcane,gossip & information broker,5,Mineral Extraction & Refinement,9,Nexus,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,17,Nightshade,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,15,Seraphic,,,,
,,Crystal,primal,primal,build beautiful homes,8,Political Intrigue and Diplomacy,18,Enigma,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,1,Exalted,,,,
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,8,Wraith,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,17,Nightshade,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,5,Nebula,,,,
,,Umbral,primal,primal,malicious hunters of the undead,9,Magical Theory and Application,20,Whisper,,,,
,,Umbral,primal,primal,malicious hunters of the undead,11,Arcanomechanics,14,Elysium,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,2,Dragon History,11,Sunfire,,,,
,,Red,chromatic,arcane,proud and arrogant,7,Planar Studies,4,Wisp,,,,
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,19,Shadow,,,,
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,5,Nebula,,,,
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,12,Whirlwind,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,3,Stellar,,,,
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,5,Nebula,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,10,Echo,,,,
,,Crystal,primal,primal,build beautiful homes,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,4,Economic Dominance and Resource Management,6,Eclipse,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,2,Empyrean,,,,
,,Brass,metallic,arcane,curious & short attention span,12,Elemental Binding,3,Stellar,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,7,Starlight,,,,
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,20,Whisper,,,,
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,18,Enigma,,,,
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,20,Whisper,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,
,,Red,chromatic,arcane,proud and arrogant,3,Ancient Relics and Artifacts: ,9,Nexus,,,,
,,Red,chromatic,arcane,proud and arrogant,3,Ancient Relics and Artifacts: ,13,Nova,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,17,Nightshade,,,,
,,rift,planar,divine,rampagers who break things,3,Ancient Relics and Artifacts: ,1,Exalted,,,,
,,Amethyst,jewel,arcane/divine,deception and stealth,10,Eldritch Engineering,8,Wraith,,,,
,,Sea,imperial,arcane,ind & fickle,3,Ancient Relics and Artifacts: ,6,Eclipse,,,,
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,8,Political Intrigue and Diplomacy,18,Enigma,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,17,Nightshade,,,,
,,Vortex,outer,arcane,interplanetary messengers,12,Elemental Binding,18,Enigma,,,,
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,5,Nebula,,,,
,,Bliss,planar,divine,serene healers,2,Dragon History,18,Enigma,,,,
,,Forest,imperial,primal,guardians of nature,5,Mineral Extraction & Refinement,9,Nexus,,,,
,,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,20,Whisper,,,,
,,Magma,primal,primal,"brash, unpredictable, & violent",1,Prophecy,17,Nightshade,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,11,Arcanomechanics,16,Wildfire,,,,
,,Sea,imperial,arcane,ind & fickle,10,Eldritch Engineering,16,Wildfire,,,,
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,5,Mineral Extraction & Refinement,7,Starlight,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Lunar,outer,arcane,nosy interplanetary people watchers,5,Mineral Extraction & Refinement,13,Nova,,,,
,,Forest,imperial,primal,guardians of nature,4,Economic Dominance and Resource Management,16,Wildfire,,,,
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,3,Stellar,,,,
,,Bliss,planar,divine,serene healers,11,Arcanomechanics,1,Exalted,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,4,Economic Dominance and Resource Management,13,Nova,,,,
,,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,4,Wisp,,,,
,,Amber,wild,arcane,gossip & information broker,4,Economic Dominance and Resource Management,1,Exalted,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,1,Prophecy,10,Echo,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,9,Magical Theory and Application,20,Whisper,,,,
,,Gold,metallic,divine,wise counselor and leader,10,Eldritch Engineering,13,Nova,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,10,Eldritch Engineering,18,Enigma,,,,
,,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,17,Nightshade,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,11,Arcanomechanics,16,Wildfire,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,16,Wildfire,,,,
,,Sapphire,jewel,Occult,Militaristic and warlike,12,Elemental Binding,1,Exalted,,,,
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,7,Starlight,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,16,Wildfire,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,19,Shadow,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,2,Empyrean,,,,
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,3,Stellar,,,,
,,Time,outer,arcane,patient watchers and guardians of history,2,Dragon History,10,Echo,,,,
,,Cloud,primal,primal,wander & exlpore,2,Dragon History,12,Whirlwind,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,4,Economic Dominance and Resource Management,5,Nebula,,,,
,,Indigo,wild,arcane,party going revelers,1,Prophecy,7,Starlight,,,,
,,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,5,Nebula,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,2,Empyrean,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,8,Wraith,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,7,Starlight,,,,
,,Cerulean,wild,arcane,explorers and adventurers,1,Prophecy,15,Seraphic,,,,
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,14,Elysium,,,,
,,Cloud,primal,primal,wander & exlpore,4,Economic Dominance and Resource Management,12,Whirlwind,,,,
,,Gold,metallic,divine,wise counselor and leader,4,Economic Dominance and Resource Management,12,Whirlwind,,,,
,,Void,outer,arcane,corrupted destroyers,6,Arcane Artifice and Enchantment Studies,5,Nebula,,,,
,,Astral,esoteric,Occult,private & proud,8,Political Intrigue and Diplomacy,16,Wildfire,,,,
,,Gold,metallic,divine,wise counselor and leader,1,Prophecy,8,Wraith,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,1,Exalted,,,,
,,Copper,metallic,arcane,prankster & hedonist,3,Ancient Relics and Artifacts: ,5,Nebula,,,,
,,Brass,metallic,arcane,curious & short attention span,7,Planar Studies,2,Empyrean,,,,
,,Infernal,planar,divine,tyranical deal brokers,11,Arcanomechanics,14,Elysium,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,15,Seraphic,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,19,Shadow,,,,
,,Gold,metallic,divine,wise counselor and leader,1,Prophecy,4,Wisp,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,9,Nexus,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,6,Eclipse,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,2,Empyrean,,,,
,,Brine,primal,primal,rigid courtsey & discipline,5,Mineral Extraction & Refinement,9,Nexus,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,10,Echo,,,,
,,Vortex,outer,arcane,interplanetary messengers,5,Mineral Extraction & Refinement,15,Seraphic,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,18,Enigma,,,,
,,Indigo,wild,arcane,party going revelers,5,Mineral Extraction & Refinement,15,Seraphic,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,2,Empyrean,,,,
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,4,Wisp,,,,
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,4,Wisp,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,2,Empyrean,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,19,Shadow,,,,
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,9,Nexus,,,,
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",2,Dragon History,9,Nexus,,,,
,,Umbral,primal,primal,malicious hunters of the undead,8,Political Intrigue and Diplomacy,2,Empyrean,,,,
,,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,14,Elysium,,,,
,,Brass,metallic,arcane,curious & short attention span,2,Dragon History,18,Enigma,,,,
,,Underworld,imperial,arcane,natural alchemists and hoarders,9,Magical Theory and Application,4,Wisp,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,17,Nightshade,,,,
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,19,Shadow,,,,
,,Crystal,primal,primal,build beautiful homes,7,Planar Studies,14,Elysium,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,15,Seraphic,,,,
,,Copper,metallic,arcane,prankster & hedonist,7,Planar Studies,12,Whirlwind,,,,
,,Indigo,wild,arcane,party going revelers,12,Elemental Binding,11,Sunfire,,,,
,,Brine,primal,primal,rigid courtsey & discipline,7,Planar Studies,18,Enigma,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,2,Empyrean,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,14,Elysium,,,,
,,Forest,imperial,primal,guardians of nature,3,Ancient Relics and Artifacts: ,4,Wisp,,,,
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,7,Starlight,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,1,Exalted,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,5,Mineral Extraction & Refinement,16,Wildfire,,,,
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,8,Wraith,,,,
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,5,Nebula,,,,
,,Red,chromatic,arcane,proud and arrogant,1,Prophecy,13,Nova,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,8,Wraith,,,,
,,Lunar,outer,arcane,nosy interplanetary people watchers,4,Economic Dominance and Resource Management,18,Enigma,,,,
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,4,Wisp,,,,
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,6,Eclipse,,,,
,,Gold,metallic,divine,wise counselor and leader,3,Ancient Relics and Artifacts: ,13,Nova,,,,
,,Harlequin,wild,arcane,clever and insightful jesters,2,Dragon History,14,Elysium,,,,
,,Copper,metallic,arcane,prankster & hedonist,5,Mineral Extraction & Refinement,17,Nightshade,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,3,Stellar,,,,
,,Brass,metallic,arcane,curious & short attention span,11,Arcanomechanics,19,Shadow,,,,
,,Crystal,primal,primal,build beautiful homes,12,Elemental Binding,18,Enigma,,,,
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,14,Elysium,,,,
,,Lunar,outer,arcane,nosy interplanetary people watchers,11,Arcanomechanics,8,Wraith,,,,
,,Amethyst,jewel,arcane/divine,deception and stealth,5,Mineral Extraction & Refinement,10,Echo,,,,
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,15,Seraphic,,,,
,,White,chromatic,arcane,brutish and predatory survivalists,4,Economic Dominance and Resource Management,4,Wisp,,,,
,,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,8,Wraith,,,,
,,Sea,imperial,arcane,ind & fickle,12,Elemental Binding,11,Sunfire,,,,
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,11,Arcanomechanics,17,Nightshade,,,,
,,Emerald,jewel,arcane,"inquisitive, knowledgeable sage",8,Political Intrigue and Diplomacy,1,Exalted,,,,
