Name,Short Name,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Wing,Room,Class Schedule,Wing Name,Flight Name,RezCode,Residence
,,Harlequin,wild,arcane,clever and insightful jesters,11,Arcanomechanics,7,Starlight,,,,,99,Graveyard
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,19,Shadow,,,,,9,Terrashield Keep
,,Topaz,jewel,arcane,selfish and unsociable,12,Elemental Binding,2,Empyrean,,,,,9,Terrashield Keep
,,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,8,Wraith,,,,,9,Terrashield Keep
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,17,Nightshade,,,,,9,Terrashield Keep
,,Copper,metallic,arcane,prankster & hedonist,7,Planar Studies,19,Shadow,,,,,9,Terrashield Keep
,,Sapphire,jewel,Occult,Militaristic and warlike,9,Magical Theory and Application,11,Sunfire,,,,,99,Graveyard
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,7,Starlight,,,,,99,Graveyard
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,15,Seraphic,,,,,99,Graveyard
,,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,17,Nightshade,,,,,99,Graveyard
,,Crystal,primal,primal,build beautiful homes,9,Magical Theory and Application,15,Seraphic,,,,,99,Graveyard
,,Brass,metallic,arcane,curious & short attention span,1,Prophecy,11,Sunfire,,,,,12,Mistwood Shoals
,,Amber,wild,arcane,gossip & information broker,12,Elemental Binding,18,Enigma,,,,,12,Mistwood Shoals
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,1,Prophecy,11,Sunfire,,,,,12,Mistwood Shoals
,,Paradise,planar,divine,defender and champion of righteousnous,11,Arcanomechanics,19,Shadow,,,,,12,Mistwood Shoals
,,Green,chromatic,arcane,obessive and meticulous scholars,6,Arcane Artifice and Enchantment Studies,12,Whirlwind,,,,,12,Mistwood Shoals
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,5,Nebula,,,,,17,Cirrus Vale
,,Red,chromatic,arcane,proud and arrogant,2,Dragon History,17,Nightshade,,,,,17,Cirrus Vale
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,1,Prophecy,17,Nightshade,,,,,17,Cirrus Vale
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,16,Wildfire,,,,,17,Cirrus Vale
,,Red,chromatic,arcane,proud and arrogant,4,Economic Dominance and Resource Management,16,Wildfire,,,,,17,Cirrus Vale
,,Nightmare,esoteric,Occult,artists of terror,6,Arcane Artifice and Enchantment Studies,15,Seraphic,,,,,99,Graveyard
,,rift,planar,divine,rampagers who break things,1,Prophecy,2,Empyrean,,,,,99,Graveyard
,,Havoc,planar,divine,passionate artists,1,Prophecy,14,Elysium,,,,,99,Graveyard
,,Forest,imperial,primal,guardians of nature,8,Political Intrigue and Diplomacy,6,Eclipse,,,,,99,Graveyard
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,6,Arcane Artifice and Enchantment Studies,19,Shadow,,,,,99,Graveyard
,,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,16,Wildfire,,,,,13,Pearl Current Row
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,3,Ancient Relics and Artifacts: ,8,Wraith,,,,,13,Pearl Current Row
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,16,Wildfire,,,,,13,Pearl Current Row
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,12,Whirlwind,,,,,13,Pearl Current Row
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,5,Nebula,,,,,13,Pearl Current Row
,,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,10,Echo,,,,,2,Cinderwalk Court
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,15,Seraphic,,,,,2,Cinderwalk Court
,,Lunar,outer,arcane,nosy interplanetary people watchers,2,Dragon History,8,Wraith,,,,,2,Cinderwalk Court
,,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,20,Whisper,,,,,2,Cinderwalk Court
,,Gold,metallic,divine,wise counselor and leader,4,Economic Dominance and Resource Management,3,Stellar,,,,,2,Cinderwalk Court
,,Copper,metallic,arcane,prankster & hedonist,11,Arcanomechanics,17,Nightshade,,,,,5,Ashspire Hollow
,,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,9,Nexus,,,,,5,Ashspire Hollow
,,Harlequin,wild,arcane,clever and insightful jesters,6,Arcane Artifice and Enchantment Studies,10,Echo,,,,,5,Ashspire Hollow
,,Moonstone,jewel,divine,wise and gentle storytellers and teachers,7,Planar Studies,13,Nova,,,,,5,Ashspire Hollow
,,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,7,Starlight,,,,,5,Ashspire Hollow
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,17,Nightshade,,,,,18,Galeholm Fields
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,3,Stellar,,,,,18,Galeholm Fields
,,Brass,metallic,arcane,curious & short attention span,7,Planar Studies,15,Seraphic,,,,,18,Galeholm Fields
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,10,Eldritch Engineering,3,Stellar,,,,,18,Galeholm Fields
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,17,Nightshade,,,,,18,Galeholm Fields
,,White,chromatic,arcane,brutish and predatory survivalists,12,Elemental Binding,12,Whirlwind,,,,,19,Whirlwind Rise
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,3,Ancient Relics and Artifacts: ,12,Whirlwind,,,,,19,Whirlwind Rise
,,Magma,primal,primal,"brash, unpredictable, & violent",2,Dragon History,4,Wisp,,,,,19,Whirlwind Rise
,,Green,chromatic,arcane,obessive and meticulous scholars,4,Economic Dominance and Resource Management,3,Stellar,,,,,19,Whirlwind Rise
,,Gold,metallic,divine,wise counselor and leader,9,Magical Theory and Application,10,Echo,,,,,19,Whirlwind Rise
,,Crypt,planar,divine,independent & decisive,3,Ancient Relics and Artifacts: ,19,Shadow,,,,,3,Pyre Crest
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,7,Starlight,,,,,3,Pyre Crest
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,11,Sunfire,,,,,3,Pyre Crest
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,,3,Pyre Crest
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,1,Exalted,,,,,3,Pyre Crest
,,Magma,primal,primal,"brash, unpredictable, & violent",10,Eldritch Engineering,7,Starlight,,,,,14,Stormbay Landing
,,Gold,metallic,divine,wise counselor and leader,7,Planar Studies,13,Nova,,,,,14,Stormbay Landing
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,9,Nexus,,,,,14,Stormbay Landing
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,16,Wildfire,,,,,14,Stormbay Landing
,,Green,chromatic,arcane,obessive and meticulous scholars,12,Elemental Binding,20,Whisper,,,,,14,Stormbay Landing
,,Sea,imperial,arcane,ind & fickle,9,Magical Theory and Application,5,Nebula,,,,,3,Pyre Crest
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,3,Stellar,,,,,3,Pyre Crest
,,Copper,metallic,arcane,prankster & hedonist,9,Magical Theory and Application,5,Nebula,,,,,3,Pyre Crest
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,5,Mineral Extraction & Refinement,3,Stellar,,,,,3,Pyre Crest
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,5,Nebula,,,,,3,Pyre Crest
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,1,Prophecy,20,Whisper,,,,,2,Cinderwalk Court
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts: ,13,Nova,,,,,2,Cinderwalk Court
,,Cerulean,wild,arcane,explorers and adventurers,2,Dragon History,4,Wisp,,,,,2,Cinderwalk Court
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,6,Arcane Artifice and Enchantment Studies,17,Nightshade,,,,,2,Cinderwalk Court
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,12,Whirlwind,,,,,2,Cinderwalk Court
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,18,Enigma,,,,,15,Moonwater Falls
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,6,Eclipse,,,,,15,Moonwater Falls
,,Forest,imperial,primal,guardians of nature,2,Dragon History,10,Echo,,,,,15,Moonwater Falls
,,Copper,metallic,arcane,prankster & hedonist,10,Eldritch Engineering,4,Wisp,,,,,15,Moonwater Falls
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,6,Arcane Artifice and Enchantment Studies,5,Nebula,,,,,15,Moonwater Falls
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,9,Nexus,,,,,8,Crystal Mantle
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,20,Whisper,,,,,8,Crystal Mantle
,,Time,outer,arcane,patient watchers and guardians of history,6,Arcane Artifice and Enchantment Studies,11,Sunfire,,,,,8,Crystal Mantle
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,7,Starlight,,,,,8,Crystal Mantle
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,9,Nexus,,,,,8,Crystal Mantle
,,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,6,Eclipse,,,,,9,Terrashield Keep
,,Underworld,imperial,arcane,natural alchemists and hoarders,5,Mineral Extraction & Refinement,4,Wisp,,,,,9,Terrashield Keep
,,Brass,metallic,arcane,curious & short attention span,10,Eldritch Engineering,20,Whisper,,,,,9,Terrashield Keep
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,1,Exalted,,,,,9,Terrashield Keep
,,Copper,metallic,arcane,prankster & hedonist,12,Elemental Binding,8,Wraith,,,,,9,Terrashield Keep
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,2,Dragon History,3,Stellar,,,,,8,Crystal Mantle
,,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,12,Whirlwind,,,,,8,Crystal Mantle
,,Brass,metallic,arcane,curious & short attention span,4,Economic Dominance and Resource Management,15,Seraphic,,,,,8,Crystal Mantle
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,11,Arcanomechanics,14,Elysium,,,,,8,Crystal Mantle
,,Toadstool,leshy,primal,communal gourmands,11,Arcanomechanics,1,Exalted,,,,,8,Crystal Mantle
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,11,Sunfire,,,,,18,Galeholm Fields
,,Forest,imperial,primal,guardians of nature,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,,18,Galeholm Fields
,,Topaz,jewel,arcane,selfish and unsociable,9,Magical Theory and Application,17,Nightshade,,,,,18,Galeholm Fields
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,5,Nebula,,,,,18,Galeholm Fields
,,Amber,wild,arcane,gossip & information broker,5,Mineral Extraction & Refinement,11,Sunfire,,,,,18,Galeholm Fields
,,Underworld,imperial,arcane,natural alchemists and hoarders,2,Dragon History,14,Elysium,,,,,11,Tidepool Grotto
,,Red,chromatic,arcane,proud and arrogant,9,Magical Theory and Application,10,Echo,,,,,11,Tidepool Grotto
,,Indigo,wild,arcane,party going revelers,3,Ancient Relics and Artifacts: ,10,Echo,,,,,11,Tidepool Grotto
,,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,14,Elysium,,,,,11,Tidepool Grotto
,,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,15,Seraphic,,,,,11,Tidepool Grotto
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,3,Stellar,,,,,7,Verdant Hollow
,,Sea,imperial,arcane,ind & fickle,4,Economic Dominance and Resource Management,8,Wraith,,,,,7,Verdant Hollow
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,18,Enigma,,,,,7,Verdant Hollow
,,Sky,imperial,divine,religious traditionalist,12,Elemental Binding,2,Empyrean,,,,,7,Verdant Hollow
,,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,8,Political Intrigue and Diplomacy,4,Wisp,,,,,7,Verdant Hollow
,,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,3,Stellar,,,,,5,Ashspire Hollow
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,6,Eclipse,,,,,5,Ashspire Hollow
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,20,Whisper,,,,,5,Ashspire Hollow
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,11,Sunfire,,,,,5,Ashspire Hollow
,,Indigo,wild,arcane,party going revelers,5,Mineral Extraction & Refinement,14,Elysium,,,,,5,Ashspire Hollow
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,1,Prophecy,18,Enigma,,,,,13,Pearl Current Row
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,17,Nightshade,,,,,13,Pearl Current Row
,,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,13,Nova,,,,,13,Pearl Current Row
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,17,Nightshade,,,,,13,Pearl Current Row
,,Gold,metallic,divine,wise counselor and leader,2,Dragon History,16,Wildfire,,,,,13,Pearl Current Row
,,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,9,Nexus,,,,,7,Verdant Hollow
,,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,17,Nightshade,,,,,7,Verdant Hollow
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",7,Planar Studies,4,Wisp,,,,,7,Verdant Hollow
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,9,Nexus,,,,,7,Verdant Hollow
,,Topaz,jewel,arcane,selfish and unsociable,4,Economic Dominance and Resource Management,15,Seraphic,,,,,7,Verdant Hollow
,,Red,chromatic,arcane,proud and arrogant,3,Ancient Relics and Artifacts: ,5,Nebula,,,,,7,Verdant Hollow
,,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,8,Wraith,,,,,7,Verdant Hollow
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,3,Stellar,,,,,7,Verdant Hollow
,,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,15,Seraphic,,,,,7,Verdant Hollow
,,Green,chromatic,arcane,obessive and meticulous scholars,3,Ancient Relics and Artifacts: ,2,Empyrean,,,,,7,Verdant Hollow
,,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,12,Whirlwind,,,,,99,Graveyard
,,Copper,metallic,arcane,prankster & hedonist,5,Mineral Extraction & Refinement,18,Enigma,,,,,99,Graveyard
,,Red,chromatic,arcane,proud and arrogant,8,Political Intrigue and Diplomacy,18,Enigma,,,,,99,Graveyard
,,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,8,Wraith,,,,,99,Graveyard
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,18,Enigma,,,,,99,Graveyard
,,Magma,primal,primal,"brash, unpredictable, & violent",5,Mineral Extraction & Refinement,8,Wraith,,,,,99,Graveyard
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,19,Shadow,,,,,99,Graveyard
,,Occult,esoteric,Occult,eclectic seekers,3,Ancient Relics and Artifacts: ,8,Wraith,,,,,99,Graveyard
,,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,1,Exalted,,,,,99,Graveyard
,,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,13,Nova,,,,,99,Graveyard
,,Soverign,imperial,Occult,"subtle manipulators, negotiators",5,Mineral Extraction & Refinement,9,Nexus,,,,,20,Aetherwell Terrace
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,4,Wisp,,,,,20,Aetherwell Terrace
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,15,Seraphic,,,,,20,Aetherwell Terrace
,,Red,chromatic,arcane,proud and arrogant,2,Dragon History,2,Empyrean,,,,,20,Aetherwell Terrace
,,Brine,primal,primal,rigid courtsey & discipline,11,Arcanomechanics,9,Nexus,,,,,20,Aetherwell Terrace
,,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,18,Enigma,,,,,15,Moonwater Falls
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,12,Elemental Binding,12,Whirlwind,,,,,15,Moonwater Falls
,,Crypt,planar,divine,independent & decisive,7,Planar Studies,4,Wisp,,,,,15,Moonwater Falls
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,4,Economic Dominance and Resource Management,15,Seraphic,,,,,15,Moonwater Falls
,,Harlequin,wild,arcane,clever and insightful jesters,11,Arcanomechanics,4,Wisp,,,,,15,Moonwater Falls
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,2,Empyrean,,,,,4,Crystalmount Rise
,,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,16,Wildfire,,,,,4,Crystalmount Rise
,,Gold,metallic,divine,wise counselor and leader,1,Prophecy,11,Sunfire,,,,,4,Crystalmount Rise
,,Brine,primal,primal,rigid courtsey & discipline,9,Magical Theory and Application,1,Exalted,,,,,4,Crystalmount Rise
,,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts: ,12,Whirlwind,,,,,4,Crystalmount Rise
,,Brass,metallic,arcane,curious & short attention span,12,Elemental Binding,10,Echo,,,,,17,Cirrus Vale
,,Lunar,outer,arcane,nosy interplanetary people watchers,4,Economic Dominance and Resource Management,11,Sunfire,,,,,17,Cirrus Vale
,,Harlequin,wild,arcane,clever and insightful jesters,11,Arcanomechanics,14,Elysium,,,,,17,Cirrus Vale
,,Brass,metallic,arcane,curious & short attention span,2,Dragon History,13,Nova,,,,,17,Cirrus Vale
,,Red,chromatic,arcane,proud and arrogant,1,Prophecy,18,Enigma,,,,,17,Cirrus Vale
,,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,3,Stellar,,,,,1,Emberfall Heights
,,Red,chromatic,arcane,proud and arrogant,10,Eldritch Engineering,2,Empyrean,,,,,1,Emberfall Heights
,,Gold,metallic,divine,wise counselor and leader,8,Political Intrigue and Diplomacy,11,Sunfire,,,,,1,Emberfall Heights
,,Time,outer,arcane,patient watchers and guardians of history,3,Ancient Relics and Artifacts: ,1,Exalted,,,,,1,Emberfall Heights
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,3,Ancient Relics and Artifacts: ,16,Wildfire,,,,,1,Emberfall Heights
,,Sea,imperial,arcane,ind & fickle,5,Mineral Extraction & Refinement,18,Enigma,,,,,20,Aetherwell Terrace
,,Sapphire,jewel,Occult,Militaristic and warlike,3,Ancient Relics and Artifacts: ,4,Wisp,,,,,20,Aetherwell Terrace
,,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",4,Economic Dominance and Resource Management,4,Wisp,,,,,20,Aetherwell Terrace
,,Cerulean,wild,arcane,explorers and adventurers,8,Political Intrigue and Diplomacy,6,Eclipse,,,,,20,Aetherwell Terrace
,,Blue,chromatic,arcane,poised cosmopolitan manipulators,2,Dragon History,6,Eclipse,,,,,20,Aetherwell Terrace
